3325010,3325,WONOTUNGGAL
3325020,3325,BANDAR
3325030,3325,BLADO
3325040,3325,REBAN
3325050,3325,BAWANG
3325060,3325,TERSONO
3325070,3325,GRINGSING
3325080,3325,LIMPUNG
3325081,3325,BANYUPUTIH
3325090,3325,SUBAH
3325091,3325,PECALUNGAN
3325100,3325,TULIS
3325101,3325,KANDEMAN
3325110,3325,BATANG
3325120,3325,WARUNG ASEM
3326010,3326,KANDANGSERANG
3326020,3326,PANINGGARAN
3326030,3326,LEBAKBARANG
3326040,3326,PETUNGKRIONO
3326050,3326,TALUN
3326060,3326,DORO
3326070,3326,KARANGANYAR
3326080,3326,KAJEN
3326090,3326,KESESI
3326100,3326,SRAGI
3326101,3326,SIWALAN
3326110,3326,BOJONG
3326120,3326,WONOPRINGGO
3326130,3326,KEDUNGWUNI
3326131,3326,KARANGDADAP
3326140,3326,BUARAN
3326150,3326,TIRTO
3326160,3326,WIRADESA
3326161,3326,WONOKERTO
3327010,3327,MOGA
3327011,3327,WARUNGPRING
3327020,3327,PULOSARI
3327030,3327,BELIK
3327040,3327,WATUKUMPUL
3327050,3327,BODEH
3327060,3327,BANTARBOLANG
3327070,3327,RANDUDONGKAL
3327080,3327,PEMALANG
3327090,3327,TAMAN
3327100,3327,PETARUKAN
3327110,3327,AMPELGADING
3327120,3327,COMAL
3327130,3327,ULUJAMI
3375010,3375,PEKALONGAN BARAT
3375020,3375,PEKALONGAN TIMUR
3375030,3375,PEKALONGAN SELATAN
3375040,3375,PEKALONGAN UTARA
